# Simulation 1 (Data loaded from a file)
# 1236 data points written for 10 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Mass (g),Wind velocity (m/s),Speed of sound (m/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
14.776,3222.15,157.629,157.823,0.315,0.057,2.999e4,2.041,322.174,0.49
14.826,3230.015,156.964,157.158,0.352,0.115,2.999e4,1.96,322.143,0.488
14.876,3237.847,156.301,156.495,0.361,0.115,2.999e4,1.834,322.112,0.486
14.926,3245.645,155.639,155.834,0.379,0.172,2.999e4,1.764,322.082,0.484
14.976,3253.411,154.98,155.174,0.38,0.172,2.999e4,1.682,322.051,0.482
15.026,3261.143,154.322,154.516,0.382,0.172,2.999e4,1.639,322.02,0.48
15.076,3268.843,153.665,153.859,0.392,0.172,2.999e4,1.653,321.99,0.478
15.126,3276.51,153.011,153.204,0.373,0.172,2.999e4,1.625,321.96,0.476
15.176,3284.144,152.358,152.551,0.349,0.115,2.999e4,1.613,321.93,0.474
15.226,3291.746,151.706,151.9,0.341,0.115,2.999e4,1.674,321.9,0.472
15.276,3299.315,151.056,151.25,0.324,0.115,2.999e4,1.732,321.87,0.47
15.326,3306.851,150.408,150.601,0.268,0.057,2.999e4,1.705,321.84,0.468
15.376,3314.356,149.76,149.954,0.22,0.006,2.999e4,1.702,321.811,0.466
15.426,3321.827,149.115,149.309,0.208,0.01,2.999e4,1.797,321.781,0.464
15.476,3329.267,148.471,148.665,0.176,0.046,2.999e4,1.833,321.752,0.462
15.526,3336.674,147.828,148.023,0.126,0.115,2.999e4,1.805,321.723,0.46
15.576,3344.05,147.186,147.382,0.085,0.172,2.999e4,1.779,321.694,0.458
15.626,3351.393,146.546,146.742,0.073,0.172,2.999e4,1.808,321.665,0.457
15.676,3358.704,145.908,146.104,0.085,0.172,2.999e4,1.875,321.636,0.455
15.726,3365.984,145.27,145.468,0.102,0.115,2.999e4,1.931,321.607,0.453
15.776,3373.232,144.635,144.833,0.097,0.115,2.999e4,1.901,321.579,0.451
15.826,3380.447,144.001,144.199,0.082,0.172,2.999e4,1.816,321.551,0.449
15.876,3387.632,143.368,143.567,0.122,0.115,2.999e4,1.869,321.522,0.447
15.926,3394.784,142.737,142.937,0.177,0.038,2.999e4,1.953,321.494,0.445
15.976,3401.905,142.107,142.307,0.208,0.003,2.999e4,1.966,321.466,0.443
16.026,3408.995,141.479,141.68,0.264,0.057,2.999e4,2.057,321.438,0.441
16.076,3416.053,140.853,141.053,0.319,0.172,2.999e4,2.162,321.41,0.439
16.126,3423.08,140.228,140.428,0.324,0.172,2.999e4,2.142,321.383,0.437
16.176,3430.076,139.604,139.805,0.329,0.172,2.999e4,2.144,321.355,0.435
16.226,3437.041,138.982,139.182,0.33,0.172,2.999e4,2.162,321.328,0.434
16.276,3443.974,138.361,138.562,0.33,0.172,2.999e4,2.199,321.3,0.432
16.326,3450.877,137.741,137.942,0.341,0.172,2.999e4,2.299,321.273,0.43
16.376,3457.748,137.123,137.324,0.315,0.172,2.999e4,2.31,321.246,0.428
16.426,3464.589,136.506,136.707,0.293,0.115,2.999e4,2.353,321.219,0.426
16.476,3471.399,135.89,136.091,0.268,0.115,2.999e4,2.401,321.192,0.424
16.526,3478.178,135.276,135.477,0.236,0.053,2.999e4,2.437,321.166,0.422
16.576,3484.927,134.662,134.863,0.19,0.011,2.999e4,2.43,321.139,0.42
16.626,3491.644,134.05,134.251,0.125,0.115,2.999e4,2.354,321.113,0.419
16.676,3498.332,133.438,133.641,0.054,0.229,2.999e4,2.24,321.086,0.417
16.726,3504.988,132.828,133.031,0.004,0.286,2.999e4,2.163,321.06,0.415
16.776,3511.614,132.218,132.423,0.009,0.286,2.999e4,2.165,321.034,0.413
16.826,3518.21,131.61,131.816,0.017,0.286,2.999e4,2.145,321.008,0.411
16.876,3524.776,131.003,131.21,0.019,0.286,2.999e4,2.105,320.982,0.409
16.926,3531.311,130.398,130.605,0.002,0.286,2.999e4,2.089,320.956,0.407
16.976,3537.815,129.793,130.001,0.04,0.229,2.999e4,2.121,320.931,0.406
17.026,3544.29,129.19,129.399,0.087,0.172,2.999e4,2.152,320.905,0.404
17.076,3550.734,128.589,128.798,0.155,0.045,2.999e4,2.24,320.88,0.402
17.126,3557.149,127.988,128.198,0.204,0.034,2.999e4,2.267,320.854,0.4
17.176,3563.533,127.389,127.6,0.233,0.057,2.999e4,2.234,320.829,0.398
17.226,3569.888,126.792,127.002,0.293,0.172,2.999e4,2.321,320.804,0.396
17.276,3576.212,126.195,126.406,0.335,0.229,2.999e4,2.368,320.779,0.395
17.326,3582.507,125.6,125.811,0.319,0.229,2.999e4,2.251,320.755,0.393
17.376,3588.772,125.006,125.217,0.308,0.229,2.999e4,2.175,320.73,0.391
17.426,3595.008,124.413,124.624,0.318,0.229,2.999e4,2.195,320.705,0.389
17.476,3601.214,123.821,124.032,0.312,0.229,2.999e4,2.186,320.681,0.387
17.526,3607.39,123.23,123.441,0.303,0.229,2.999e4,2.189,320.657,0.385
17.576,3613.537,122.641,122.852,0.305,0.229,2.999e4,2.253,320.632,0.384
17.626,3619.654,122.052,122.263,0.301,0.229,2.999e4,2.319,320.608,0.382
17.676,3625.742,121.464,121.676,0.271,0.172,2.999e4,2.315,320.584,0.38
17.726,3631.801,120.877,121.089,0.211,0.057,2.999e4,2.215,320.56,0.378
17.776,3637.83,120.291,120.504,0.158,0.012,2.999e4,2.139,320.537,0.376
17.826,3643.83,119.706,119.919,0.135,0.054,2.999e4,2.165,320.513,0.375
17.876,3649.8,119.122,119.336,0.092,0.115,2.999e4,2.111,320.49,0.373
17.926,3655.742,118.539,118.753,0.019,0.286,2.999e4,1.929,320.466,0.371
17.976,3661.654,117.956,118.172,0.026,0.344,2.999e4,1.825,320.443,0.369
18.026,3667.538,117.374,117.591,0.046,0.401,2.999e4,1.775,320.42,0.367
18.076,3673.392,116.793,117.011,0.056,0.401,2.999e4,1.727,320.397,0.366
18.126,3679.217,116.214,116.433,0.051,0.401,2.999e4,1.699,320.374,0.364
18.176,3685.013,115.635,115.855,0.046,0.401,2.999e4,1.637,320.351,0.362
18.226,3690.78,115.057,115.279,0.021,0.344,2.999e4,1.619,320.328,0.36
18.276,3696.519,114.48,114.703,0.012,0.286,2.999e4,1.608,320.306,0.358
18.326,3702.228,113.905,114.128,0.033,0.229,2.999e4,1.531,320.283,0.357
18.376,3707.909,113.33,113.555,0.086,0.115,2.999e4,1.567,320.261,0.355
18.426,3713.561,112.757,112.982,0.154,0.017,2.999e4,1.66,320.238,0.353
18.476,3719.185,112.184,112.411,0.193,0.115,2.999e4,1.648,320.216,0.351
18.526,3724.78,111.613,111.84,0.198,0.115,2.999e4,1.514,320.194,0.35
18.576,3730.346,111.043,111.27,0.225,0.172,2.999e4,1.476,320.172,0.348
18.626,3735.884,110.474,110.701,0.269,0.286,2.999e4,1.525,320.15,0.346
18.676,3741.394,109.906,110.133,0.312,0.401,2.999e4,1.59,320.129,0.344
18.726,3746.875,109.338,109.566,0.352,0.458,2.999e4,1.676,320.107,0.343
18.776,3752.328,108.772,109,0.347,0.458,2.999e4,1.62,320.086,0.341
18.826,3757.752,108.207,108.435,0.358,0.516,2.999e4,1.659,320.064,0.339
18.876,3763.148,107.642,107.87,0.381,0.573,2.999e4,1.782,320.043,0.337
18.926,3768.516,107.079,107.307,0.39,0.573,2.999e4,1.884,320.022,0.336
18.976,3773.856,106.516,106.744,0.378,0.573,2.999e4,1.945,320.001,0.334
19.026,3779.168,105.954,106.182,0.334,0.458,2.999e4,1.909,319.98,0.332
19.076,3784.452,105.393,105.621,0.301,0.401,2.999e4,1.941,319.959,0.331
19.126,3789.707,104.833,105.061,0.285,0.344,2.999e4,2.058,319.938,0.329
19.176,3794.935,104.273,104.502,0.245,0.286,2.999e4,2.097,319.918,0.327
19.226,3800.135,103.714,103.943,0.178,0.115,2.999e4,2.024,319.897,0.325
19.276,3805.306,103.155,103.385,0.117,0.038,2.999e4,1.974,319.877,0.324
19.326,3810.45,102.597,102.828,0.082,0.115,2.999e4,2.023,319.857,0.322
19.376,3815.566,102.04,102.272,0.062,0.172,2.999e4,2.128,319.837,0.32
19.426,3820.654,101.484,101.717,0.031,0.286,2.999e4,2.171,319.817,0.319
19.476,3825.714,100.928,101.162,0.017,0.286,2.999e4,2.266,319.797,0.317
19.526,3830.747,100.372,100.608,0.008,0.344,2.999e4,2.298,319.777,0.315
19.576,3835.752,99.818,100.055,0.042,0.458,2.999e4,2.262,319.757,0.313
19.626,3840.729,99.264,99.502,0.045,0.458,2.999e4,2.335,319.737,0.312
19.676,3845.678,98.71,98.95,0.04,0.458,2.999e4,2.416,319.718,0.31
19.726,3850.6,98.158,98.399,0.03,0.458,2.999e4,2.491,319.699,0.308
19.776,3855.494,97.606,97.849,0.036,0.458,2.999e4,2.476,319.679,0.307
19.826,3860.36,97.055,97.299,0.046,0.516,2.999e4,2.417,319.66,0.305
19.876,3865.199,96.505,96.751,0.041,0.458,2.999e4,2.405,319.641,0.303
19.926,3870.011,95.955,96.203,0.029,0.458,2.999e4,2.393,319.622,0.302
19.976,3874.795,95.407,95.655,0.015,0.401,2.999e4,2.377,319.603,0.3
20.026,3879.551,94.859,95.109,0.007,0.401,2.999e4,2.317,319.585,0.298
20.076,3884.281,94.311,94.563,0.014,0.344,2.999e4,2.297,319.566,0.297
20.126,3888.983,93.765,94.018,0.043,0.229,2.999e4,2.304,319.547,0.295
20.176,3893.657,93.22,93.474,0.071,0.172,2.999e4,2.305,319.529,0.293
20.226,3898.305,92.675,92.931,0.111,0.034,2.999e4,2.363,319.511,0.291
20.276,3902.925,92.132,92.388,0.147,0.057,2.999e4,2.405,319.492,0.29
20.326,3907.518,91.589,91.846,0.177,0.172,2.999e4,2.421,319.474,0.288
20.376,3912.084,91.047,91.305,0.19,0.229,2.999e4,2.371,319.456,0.286
20.426,3916.622,90.505,90.764,0.196,0.286,2.999e4,2.291,319.439,0.285
20.476,3921.134,89.965,90.225,0.222,0.344,2.999e4,2.327,319.421,0.283
20.526,3925.619,89.425,89.685,0.257,0.458,2.999e4,2.417,319.403,0.281
20.576,3930.077,88.886,89.147,0.266,0.516,2.999e4,2.406,319.386,0.28
20.626,3934.508,88.347,88.609,0.27,0.516,2.999e4,2.386,319.368,0.278
20.676,3938.911,87.81,88.072,0.263,0.516,2.999e4,2.334,319.351,0.276
20.726,3943.288,87.273,87.535,0.249,0.458,2.999e4,2.266,319.333,0.275
20.776,3947.639,86.736,86.999,0.247,0.458,2.999e4,2.269,319.316,0.273
20.826,3951.962,86.2,86.464,0.232,0.458,2.999e4,2.227,319.299,0.271
20.876,3956.259,85.665,85.93,0.207,0.344,2.999e4,2.142,319.282,0.27
20.926,3960.529,85.13,85.396,0.181,0.286,2.999e4,2.061,319.266,0.268
20.976,3964.772,84.595,84.862,0.176,0.286,2.999e4,2.097,319.249,0.266
21.026,3968.988,84.062,84.33,0.175,0.286,2.999e4,2.156,319.232,0.265
21.076,3973.178,83.529,83.797,0.162,0.229,2.999e4,2.162,319.216,0.263
21.126,3977.341,82.996,83.266,0.147,0.172,2.999e4,2.161,319.199,0.261
21.176,3981.477,82.464,82.735,0.121,0.057,2.999e4,2.099,319.183,0.26
21.226,3985.587,81.932,82.205,0.091,0.042,2.999e4,2.007,319.167,0.258
21.276,3989.671,81.401,81.675,0.07,0.115,2.999e4,1.966,319.151,0.256
21.326,3993.727,80.87,81.146,0.06,0.172,2.999e4,1.978,319.135,0.255
21.376,3997.758,80.34,80.617,0.051,0.229,2.999e4,1.986,319.119,0.253
21.426,4001.761,79.81,80.089,0.028,0.286,2.999e4,1.909,319.103,0.252
21.476,4005.739,79.281,79.561,0.017,0.344,2.999e4,1.888,319.088,0.25
21.526,4009.69,78.752,79.034,0.02,0.344,2.999e4,1.936,319.072,0.248
21.576,4013.614,78.224,78.508,0.011,0.401,2.999e4,1.903,319.056,0.247
21.626,4017.512,77.696,77.982,0.004,0.458,2.999e4,1.829,319.041,0.245
21.676,4021.384,77.169,77.457,0.002,0.401,2.999e4,1.861,319.026,0.243
21.726,4025.229,76.642,76.932,0.019,0.344,2.999e4,1.949,319.011,0.242
21.776,4029.048,76.116,76.408,0.04,0.229,2.999e4,2.053,318.996,0.24
21.826,4032.84,75.591,75.884,0.06,0.172,2.999e4,2.146,318.981,0.239
21.876,4036.607,75.066,75.361,0.055,0.172,2.999e4,2.09,318.966,0.237
21.926,4040.347,74.542,74.839,0.058,0.172,2.999e4,2.075,318.951,0.235
21.976,4044.061,74.018,74.317,0.067,0.115,2.999e4,2.098,318.937,0.234
22.026,4047.749,73.495,73.795,0.056,0.172,2.999e4,1.989,318.922,0.232
22.076,4051.41,72.972,73.275,0.051,0.172,2.999e4,1.916,318.908,0.23
22.126,4055.046,72.45,72.754,0.061,0.115,2.999e4,1.934,318.893,0.229
22.176,4058.655,71.928,72.234,0.086,0.008,2.999e4,2.051,318.879,0.227
22.226,4062.239,71.407,71.715,0.109,0.115,2.999e4,2.152,318.865,0.226
22.276,4065.796,70.886,71.196,0.107,0.115,2.999e4,2.097,318.851,0.224
22.326,4069.327,70.366,70.678,0.108,0.115,2.999e4,2.066,318.837,0.222
22.376,4072.833,69.847,70.16,0.114,0.172,2.999e4,2.071,318.823,0.221
22.426,4076.312,69.328,69.643,0.112,0.172,2.999e4,2.024,318.81,0.219
22.476,4079.766,68.809,69.127,0.122,0.229,2.999e4,2.055,318.796,0.218
22.526,4083.193,68.291,68.61,0.139,0.344,2.999e4,2.143,318.782,0.216
22.576,4086.595,67.774,68.095,0.143,0.344,2.999e4,2.15,318.769,0.214
22.626,4089.97,67.257,67.579,0.144,0.401,2.999e4,2.145,318.756,0.213
22.676,4093.32,66.74,67.065,0.141,0.344,2.999e4,2.115,318.743,0.211
22.726,4096.645,66.224,66.55,0.127,0.286,2.999e4,2.021,318.729,0.21
22.776,4099.943,65.709,66.037,0.124,0.286,2.999e4,1.996,318.716,0.208
22.826,4103.215,65.193,65.523,0.119,0.286,2.999e4,1.969,318.704,0.206
22.876,4106.462,64.678,65.01,0.11,0.229,2.999e4,1.909,318.691,0.205
22.926,4109.683,64.164,64.498,0.111,0.229,2.999e4,1.925,318.678,0.203
22.976,4112.879,63.65,63.986,0.11,0.229,2.999e4,1.927,318.665,0.202
23.026,4116.048,63.136,63.474,0.121,0.344,2.999e4,2.018,318.653,0.2
23.076,4119.192,62.623,62.963,0.137,0.401,2.999e4,2.145,318.641,0.198
23.126,4122.311,62.11,62.453,0.138,0.458,2.999e4,2.181,318.628,0.197
23.176,4125.403,61.598,61.943,0.14,0.458,2.999e4,2.218,318.616,0.195
23.226,4128.47,61.086,61.433,0.139,0.458,2.999e4,2.242,318.604,0.194
23.276,4131.512,60.575,60.924,0.128,0.401,2.999e4,2.199,318.592,0.192
23.326,4134.528,60.064,60.415,0.124,0.401,2.999e4,2.209,318.58,0.191
23.376,4137.518,59.553,59.906,0.125,0.401,2.999e4,2.26,318.568,0.189
23.426,4140.483,59.042,59.398,0.124,0.401,2.999e4,2.291,318.557,0.187
23.476,4143.422,58.533,58.891,0.125,0.401,2.999e4,2.351,318.545,0.186
23.526,4146.336,58.023,58.384,0.129,0.458,2.999e4,2.434,318.534,0.184
23.576,4149.225,57.514,57.877,0.115,0.344,2.999e4,2.373,318.522,0.183
23.626,4152.088,57.005,57.371,0.097,0.229,2.999e4,2.287,318.511,0.181
23.676,4154.925,56.496,56.865,0.094,0.229,2.999e4,2.313,318.5,0.18
23.726,4157.737,55.988,56.359,0.088,0.172,2.999e4,2.319,318.489,0.178
23.776,4160.524,55.48,55.854,0.082,0.115,2.999e4,2.317,318.478,0.176
23.826,4163.285,54.972,55.349,0.088,0.172,2.999e4,2.417,318.467,0.175
23.876,4166.021,54.465,54.845,0.092,0.229,2.999e4,2.501,318.456,0.173
23.926,4168.732,53.958,54.341,0.081,0.115,2.999e4,2.459,318.445,0.172
23.976,4171.417,53.451,53.838,0.076,0.115,2.999e4,2.467,318.435,0.17
24.026,4174.077,52.945,53.335,0.066,0.014,2.999e4,2.425,318.424,0.169
24.076,4176.712,52.439,52.832,0.05,0.172,2.999e4,2.316,318.414,0.167
24.126,4179.321,51.933,52.33,0.036,0.286,2.999e4,2.232,318.404,0.165
24.176,4181.905,51.427,51.828,0.024,0.401,2.999e4,2.153,318.394,0.164
24.226,4184.464,50.922,51.326,0.019,0.458,2.999e4,2.135,318.384,0.162
24.276,4186.997,50.417,50.825,0.015,0.516,2.999e4,2.118,318.374,0.161
24.326,4189.505,49.912,50.324,0.017,0.458,2.999e4,2.149,318.364,0.159
24.376,4191.988,49.408,49.823,0.02,0.458,2.999e4,2.192,318.354,0.158
24.426,4194.446,48.903,49.323,0.018,0.458,2.999e4,2.174,318.344,0.156
24.476,4196.879,48.4,48.824,0.011,0.573,2.999e4,2.105,318.335,0.154
24.526,4199.286,47.896,48.325,0.015,0.516,2.999e4,2.137,318.325,0.153
24.576,4201.668,47.393,47.826,0.02,0.458,2.999e4,2.182,318.316,0.151
24.626,4204.025,46.89,47.327,0.018,0.458,2.999e4,2.148,318.306,0.15
24.676,4206.357,46.387,46.829,0.024,0.401,2.999e4,2.186,318.297,0.148
24.726,4208.664,45.885,46.331,0.034,0.286,2.999e4,2.265,318.288,0.147
24.776,4210.946,45.383,45.834,0.037,0.229,2.999e4,2.28,318.279,0.145
24.826,4213.202,44.881,45.337,0.03,0.344,2.999e4,2.177,318.27,0.144
24.876,4215.434,44.38,44.841,0.025,0.401,2.999e4,2.104,318.262,0.142
24.926,4217.64,43.879,44.345,0.026,0.401,2.999e4,2.077,318.253,0.14
24.976,4219.822,43.378,43.849,0.025,0.401,2.999e4,2.04,318.244,0.139
25.026,4221.978,42.877,43.354,0.027,0.344,2.999e4,2.02,318.236,0.137
25.076,4224.109,42.377,42.859,0.029,0.344,2.999e4,2.002,318.227,0.136
25.126,4226.216,41.877,42.364,0.029,0.286,2.999e4,1.962,318.219,0.134
25.176,4228.297,41.377,41.87,0.025,0.344,2.999e4,1.877,318.211,0.133
25.226,4230.354,40.878,41.376,0.02,0.458,2.999e4,1.768,318.203,0.131
25.276,4232.385,40.378,40.883,0.02,0.458,2.999e4,1.717,318.195,0.129
25.326,4234.391,39.879,40.39,0.027,0.344,2.999e4,1.747,318.187,0.128
25.376,4236.373,39.381,39.897,0.03,0.286,2.999e4,1.728,318.179,0.126
25.426,4238.329,38.882,39.405,0.03,0.229,2.999e4,1.68,318.171,0.125
25.476,4240.261,38.384,38.913,0.029,0.286,2.999e4,1.604,318.164,0.123
25.526,4242.168,37.886,38.422,0.035,0.172,2.999e4,1.624,318.156,0.122
25.576,4244.05,37.389,37.931,0.049,0.115,2.999e4,1.749,318.149,0.12
25.626,4245.907,36.891,37.441,0.053,0.229,2.999e4,1.747,318.141,0.119
25.676,4247.739,36.394,36.951,0.062,0.401,2.999e4,1.806,318.134,0.117
25.726,4249.546,35.898,36.461,0.073,0.63,2.999e4,1.891,318.127,0.116
25.776,4251.329,35.401,35.972,0.078,0.802,2.999e4,1.905,318.12,0.114
25.826,4253.086,34.905,35.483,0.079,0.859,2.999e4,1.867,318.113,0.113
25.876,4254.819,34.409,34.995,0.083,0.974,2.999e4,1.874,318.106,0.111
25.926,4256.527,33.914,34.507,0.09,1.146,2.999e4,1.913,318.1,0.11
25.976,4258.211,33.419,34.019,0.095,1.318,2.999e4,1.942,318.093,0.108
26.026,4259.869,32.924,33.532,0.098,1.375,2.999e4,1.936,318.086,0.107
26.076,4261.503,32.429,33.045,0.095,1.375,2.999e4,1.857,318.08,0.105
26.126,4263.112,31.934,32.559,0.092,1.375,2.999e4,1.787,318.074,0.104
26.176,4264.696,31.44,32.074,0.098,1.604,2.999e4,1.84,318.067,0.102
26.226,4266.256,30.946,31.588,0.108,1.833,2.999e4,1.927,318.061,0.101
26.276,4267.791,30.452,31.103,0.108,1.891,2.999e4,1.897,318.055,0.099
26.326,4269.301,29.958,30.619,0.108,2.005,2.999e4,1.879,318.049,0.098
26.376,4270.787,29.464,30.135,0.111,2.12,2.999e4,1.895,318.043,0.096
26.426,4272.248,28.971,29.652,0.119,2.406,2.999e4,1.975,318.038,0.095
26.476,4273.684,28.478,29.169,0.123,2.578,2.999e4,2,318.032,0.093
26.526,4275.095,27.985,28.687,0.122,2.636,2.999e4,1.977,318.027,0.092
26.576,4276.482,27.493,28.205,0.128,2.922,2.999e4,2.036,318.021,0.09
26.626,4277.845,27,27.724,0.128,2.979,2.999e4,2.021,318.016,0.089
26.676,4279.182,26.508,27.243,0.126,3.037,2.999e4,1.982,318.01,0.087
26.726,4280.496,26.016,26.763,0.126,3.151,2.999e4,1.978,318.005,0.086
26.776,4281.784,25.524,26.284,0.129,3.323,2.999e4,2,318,0.084
26.826,4283.048,25.033,25.805,0.131,3.552,2.999e4,2.028,317.995,0.083
26.876,4284.287,24.541,25.327,0.128,3.552,2.999e4,1.972,317.99,0.081
26.926,4285.502,24.05,24.85,0.13,3.782,2.999e4,1.991,317.986,0.08
26.976,4286.692,23.559,24.373,0.138,4.125,2.999e4,2.093,317.981,0.079
27.026,4287.858,23.068,23.897,0.144,4.469,2.999e4,2.177,317.976,0.077
27.076,4288.999,22.577,23.422,0.151,4.813,2.999e4,2.267,317.972,0.076
27.126,4290.116,22.087,22.947,0.155,5.099,2.999e4,2.311,317.967,0.074
27.176,4291.208,21.596,22.474,0.157,5.386,2.999e4,2.346,317.963,0.073
27.226,4292.275,21.106,22.001,0.162,5.73,2.999e4,2.407,317.959,0.072
27.276,4293.318,20.617,21.529,0.17,6.131,2.999e4,2.507,317.955,0.07
27.326,4294.337,20.127,21.058,0.171,6.417,2.999e4,2.533,317.951,0.069
27.376,4295.331,19.637,20.588,0.166,6.474,2.999e4,2.464,317.947,0.067
27.426,4296.301,19.148,20.119,0.165,6.704,2.999e4,2.448,317.943,0.066
27.476,4297.246,18.659,19.652,0.161,6.818,2.999e4,2.401,317.939,0.065
27.526,4298.167,18.17,19.186,0.154,6.818,2.999e4,2.304,317.936,0.063
27.576,4299.063,17.681,18.721,0.15,6.99,2.999e4,2.246,317.932,0.062
27.626,4299.935,17.192,18.257,0.15,7.219,2.999e4,2.236,317.929,0.06
27.676,4300.782,16.703,17.795,0.146,7.391,2.999e4,2.18,317.925,0.059
27.726,4301.605,16.214,17.334,0.142,7.506,2.999e4,2.1,317.922,0.057
27.776,4302.404,15.725,16.876,0.136,7.563,2.999e4,1.998,317.919,0.056
27.826,4303.178,15.237,16.419,0.132,7.735,2.999e4,1.924,317.916,0.054
27.876,4303.927,14.748,15.964,0.134,8.251,2.999e4,1.944,317.913,0.053
27.926,4304.652,14.26,15.511,0.137,8.709,2.999e4,1.953,317.91,0.052
27.976,4305.353,13.772,15.061,0.137,9.11,2.999e4,1.937,317.907,0.05
28.026,4306.03,13.284,14.613,0.144,9.855,2.999e4,2.006,317.905,0.049
28.076,4306.682,12.796,14.168,0.148,10.542,2.999e4,2.046,317.902,0.048
28.126,4307.309,12.308,13.726,0.149,11.058,2.999e4,2.018,317.9,0.046
28.176,4307.912,11.821,13.287,0.148,11.574,2.999e4,1.965,317.897,0.045
28.226,4308.491,11.334,12.852,0.148,12.147,2.999e4,1.927,317.895,0.044
28.276,4309.046,10.846,12.421,0.156,13.121,2.999e4,1.995,317.893,0.042
28.326,4309.576,10.36,11.994,0.164,14.267,2.999e4,2.074,317.891,0.041
28.376,4310.082,9.873,11.572,0.171,15.298,2.999e4,2.117,317.889,0.04
28.426,4310.563,9.387,11.155,0.175,16.272,2.999e4,2.123,317.887,0.039
28.476,4311.02,8.901,10.744,0.178,17.303,2.999e4,2.111,317.885,0.038
28.526,4311.453,8.415,10.34,0.186,18.621,2.999e4,2.161,317.883,0.037
28.576,4311.862,7.93,9.944,0.196,20.054,2.999e4,2.227,317.882,0.036
28.626,4312.246,7.444,9.555,0.195,21.257,2.999e4,2.189,317.88,0.035
28.676,4312.606,6.959,9.176,0.198,22.746,2.999e4,2.208,317.879,0.034
28.726,4312.942,6.475,8.807,0.199,24.179,2.999e4,2.179,317.877,0.033
28.776,4313.254,5.99,8.45,0.194,25.382,2.999e4,2.051,317.876,0.031
28.826,4313.541,5.506,8.107,0.194,26.929,2.999e4,1.988,317.875,0.03
28.876,4313.804,5.021,7.779,0.199,28.877,2.999e4,1.992,317.874,0.03
28.926,4314.043,4.538,7.467,0.203,30.825,2.999e4,1.961,317.873,0.029
28.976,4314.258,4.054,7.175,0.201,32.659,2.999e4,1.843,317.872,0.028
29.026,4314.449,3.57,6.905,0.202,34.721,2.999e4,1.746,317.871,0.027
29.076,4314.615,3.087,6.659,0.21,37.242,2.999e4,1.743,317.871,0.026
29.126,4314.757,2.604,6.44,0.214,39.763,2.999e4,1.674,317.87,0.025
29.176,4314.876,2.122,6.25,0.216,42.342,2.999e4,1.564,317.87,0.024
29.226,4314.97,1.639,6.094,0.092,45.436,2.999e4,1.658,317.869,0.024
29.276,4315.039,1.153,5.976,0.097,48.644,2.999e4,1.753,317.869,0.024
29.326,4315.085,0.667,5.897,0.099,51.738,2.999e4,1.766,317.869,0.024
29.376,4315.106,0.181,5.857,0.102,54.889,2.999e4,1.767,317.869,0.024
# Event APOGEE occurred at t=29.426 seconds
29.426,4315.103,-0.304,5.857,0.11,57.983,2.999e4,1.849,317.869,0.024
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=29.427 seconds
29.476,4315.076,-0.789,5.896,1.235,NaN,2.999e4,1.978,317.869,0.025
29.578,4314.944,-1.781,5.987,1.252,NaN,2.999e4,2.079,317.87,0.025
29.683,4314.706,-2.772,6.236,1.291,NaN,2.999e4,2.195,317.87,0.026
29.789,4314.358,-3.763,6.621,1.317,NaN,2.999e4,2.225,317.872,0.027
29.898,4313.897,-4.753,7.123,1.363,NaN,2.999e4,2.277,317.874,0.028
30.008,4313.315,-5.741,7.716,1.369,NaN,2.999e4,2.171,317.876,0.029
30.122,4312.608,-6.729,8.383,1.445,NaN,2.999e4,2.265,317.879,0.031
30.239,4311.764,-7.715,9.102,1.483,NaN,2.999e4,2.232,317.882,0.033
30.359,4310.774,-8.698,9.864,1.544,NaN,2.999e4,2.265,317.886,0.035
30.485,4309.622,-9.68,10.657,1.581,NaN,2.999e4,2.232,317.891,0.037
30.615,4308.293,-10.658,11.475,1.579,NaN,2.999e4,2.087,317.896,0.039
30.752,4306.765,-11.634,12.314,1.57,NaN,2.999e4,1.942,317.902,0.041
30.897,4305.007,-12.608,13.17,1.6,NaN,2.999e4,1.94,317.909,0.044
31.052,4302.981,-13.577,14.036,1.697,NaN,2.999e4,2.17,317.917,0.046
31.219,4300.637,-14.536,14.901,1.765,NaN,2.999e4,2.356,317.926,0.049
31.401,4297.911,-15.483,15.763,1.718,NaN,2.999e4,2.274,317.937,0.051
31.601,4294.712,-16.422,16.628,1.646,NaN,2.999e4,2.173,317.949,0.054
31.827,4290.905,-17.351,17.495,1.551,NaN,2.999e4,2.073,317.964,0.056
32.086,4286.282,-18.266,18.358,1.376,NaN,2.999e4,1.832,317.982,0.059
32.396,4280.478,-19.17,19.222,1.333,NaN,2.999e4,1.991,318.005,0.061
32.779,4272.978,-20.031,20.051,1.124,NaN,2.999e4,1.86,318.035,0.064
33.279,4262.763,-20.831,20.834,0.995,NaN,2.999e4,2.017,318.075,0.066
33.779,4252.228,-21.307,21.307,0.837,NaN,2.999e4,2.099,318.117,0.067
34.279,4241.506,-21.583,21.591,0.593,NaN,2.999e4,1.937,318.159,0.068
34.779,4230.674,-21.744,21.762,0.42,NaN,2.999e4,1.832,318.201,0.068
